Tick;Step;DateTime;age;current_activity;event_info;flight_experience;Latitude;Longitude;myAircraft_callsign;state;takeoff_distance;0_Position;1_Position;ID
0;0;2020-01-01T19:00:00.0000000+01:00;19;Initialization;None;96.9972670064295;0;0;Cessna1;Initialization;0;0;0;e0cd5c62-a9ad-4830-8014-10c47c22d193
0;0;2020-01-01T19:00:00.0000000+01:00;37;Initialization;None;648.629791684742;0;0;Cessna2;Initialization;0;0;0;478b5bc2-a2b4-42af-a38c-99735c15a4d3
1;1;2020-01-01T19:00:01.0000000+01:00;19;Initialization;None;96.9972670064295;0;0;Cessna1;Initialization;0;0;0;e0cd5c62-a9ad-4830-8014-10c47c22d193
1;1;2020-01-01T19:00:01.0000000+01:00;37;Initialization;None;648.629791684742;0;0;Cessna2;Initialization;0;0;0;478b5bc2-a2b4-42af-a38c-99735c15a4d3
2;2;2020-01-01T19:00:02.0000000+01:00;19;Initialization;None;96.9972670064295;0;0;Cessna1;Initialization;0;0;0;e0cd5c62-a9ad-4830-8014-10c47c22d193
2;2;2020-01-01T19:00:02.0000000+01:00;37;Initialization;None;648.629791684742;0;0;Cessna2;Initialization;0;0;0;478b5bc2-a2b4-42af-a38c-99735c15a4d3
3;3;2020-01-01T19:00:03.0000000+01:00;19;Initialization;None;96.9972670064295;0;0;Cessna1;Initialization;0;0;0;e0cd5c62-a9ad-4830-8014-10c47c22d193
3;3;2020-01-01T19:00:03.0000000+01:00;37;Initialization;None;648.629791684742;0;0;Cessna2;Initialization;0;0;0;478b5bc2-a2b4-42af-a38c-99735c15a4d3
4;4;2020-01-01T19:00:04.0000000+01:00;19;Initialization;None;96.9972670064295;0;0;Cessna1;Initialization;0;0;0;e0cd5c62-a9ad-4830-8014-10c47c22d193
4;4;2020-01-01T19:00:04.0000000+01:00;37;Initialization;None;648.629791684742;0;0;Cessna2;Initialization;0;0;0;478b5bc2-a2b4-42af-a38c-99735c15a4d3
5;5;2020-01-01T19:00:05.0000000+01:00;19;Initialization;None;96.9972670064295;0;0;Cessna1;Initialization;0;0;0;e0cd5c62-a9ad-4830-8014-10c47c22d193
5;5;2020-01-01T19:00:05.0000000+01:00;37;Initialization;None;648.629791684742;0;0;Cessna2;Initialization;0;0;0;478b5bc2-a2b4-42af-a38c-99735c15a4d3
6;6;2020-01-01T19:00:06.0000000+01:00;19;Initialization;None;96.9972670064295;0;0;Cessna1;Initialization;0;0;0;e0cd5c62-a9ad-4830-8014-10c47c22d193
6;6;2020-01-01T19:00:06.0000000+01:00;37;Initialization;None;648.629791684742;0;0;Cessna2;Initialization;0;0;0;478b5bc2-a2b4-42af-a38c-99735c15a4d3
7;7;2020-01-01T19:00:07.0000000+01:00;19;Initialization;None;96.9972670064295;0;0;Cessna1;Initialization;0;0;0;e0cd5c62-a9ad-4830-8014-10c47c22d193
7;7;2020-01-01T19:00:07.0000000+01:00;37;Initialization;None;648.629791684742;0;0;Cessna2;Initialization;0;0;0;478b5bc2-a2b4-42af-a38c-99735c15a4d3
8;8;2020-01-01T19:00:08.0000000+01:00;19;Initialization;None;96.9972670064295;0;0;Cessna1;Initialization;0;0;0;e0cd5c62-a9ad-4830-8014-10c47c22d193
8;8;2020-01-01T19:00:08.0000000+01:00;37;Initialization;None;648.629791684742;0;0;Cessna2;Initialization;0;0;0;478b5bc2-a2b4-42af-a38c-99735c15a4d3
9;9;2020-01-01T19:00:09.0000000+01:00;19;Initialization;None;96.9972670064295;0;0;Cessna1;Initialization;0;0;0;e0cd5c62-a9ad-4830-8014-10c47c22d193
9;9;2020-01-01T19:00:09.0000000+01:00;37;Initialization;None;648.629791684742;0;0;Cessna2;Initialization;0;0;0;478b5bc2-a2b4-42af-a38c-99735c15a4d3
10;10;2020-01-01T19:00:10.0000000+01:00;19;Initialization;None;96.9972670064295;0;0;Cessna1;Initialization;0;0;0;e0cd5c62-a9ad-4830-8014-10c47c22d193
10;10;2020-01-01T19:00:10.0000000+01:00;37;Initialization;None;648.629791684742;0;0;Cessna2;Initialization;0;0;0;478b5bc2-a2b4-42af-a38c-99735c15a4d3
11;11;2020-01-01T19:00:11.0000000+01:00;19;Initialization;None;96.9972670064295;0;0;Cessna1;Initialization;0;0;0;e0cd5c62-a9ad-4830-8014-10c47c22d193
11;11;2020-01-01T19:00:11.0000000+01:00;37;Initialization;None;648.629791684742;0;0;Cessna2;Initialization;0;0;0;478b5bc2-a2b4-42af-a38c-99735c15a4d3
12;12;2020-01-01T19:00:12.0000000+01:00;19;Initialization;None;96.9972670064295;0;0;Cessna1;Initialization;0;0;0;e0cd5c62-a9ad-4830-8014-10c47c22d193
12;12;2020-01-01T19:00:12.0000000+01:00;37;Initialization;None;648.629791684742;0;0;Cessna2;Initialization;0;0;0;478b5bc2-a2b4-42af-a38c-99735c15a4d3
13;13;2020-01-01T19:00:13.0000000+01:00;19;Initialization;None;96.9972670064295;0;0;Cessna1;Initialization;0;0;0;e0cd5c62-a9ad-4830-8014-10c47c22d193
13;13;2020-01-01T19:00:13.0000000+01:00;37;Initialization;None;648.629791684742;0;0;Cessna2;Initialization;0;0;0;478b5bc2-a2b4-42af-a38c-99735c15a4d3
14;14;2020-01-01T19:00:14.0000000+01:00;19;Initialization;None;96.9972670064295;0;0;Cessna1;Initialization;0;0;0;e0cd5c62-a9ad-4830-8014-10c47c22d193
14;14;2020-01-01T19:00:14.0000000+01:00;37;Initialization;None;648.629791684742;0;0;Cessna2;Initialization;0;0;0;478b5bc2-a2b4-42af-a38c-99735c15a4d3
15;15;2020-01-01T19:00:15.0000000+01:00;19;Initialization;None;96.9972670064295;0;0;Cessna1;Initialization;0;0;0;e0cd5c62-a9ad-4830-8014-10c47c22d193
15;15;2020-01-01T19:00:15.0000000+01:00;37;Initialization;None;648.629791684742;0;0;Cessna2;Initialization;0;0;0;478b5bc2-a2b4-42af-a38c-99735c15a4d3
16;16;2020-01-01T19:00:16.0000000+01:00;19;Initialization;None;96.9972670064295;0;0;Cessna1;Initialization;0;0;0;e0cd5c62-a9ad-4830-8014-10c47c22d193
16;16;2020-01-01T19:00:16.0000000+01:00;37;Initialization;None;648.629791684742;0;0;Cessna2;Initialization;0;0;0;478b5bc2-a2b4-42af-a38c-99735c15a4d3
17;17;2020-01-01T19:00:17.0000000+01:00;19;Initialization;None;96.9972670064295;0;0;Cessna1;Initialization;0;0;0;e0cd5c62-a9ad-4830-8014-10c47c22d193
17;17;2020-01-01T19:00:17.0000000+01:00;37;Initialization;None;648.629791684742;0;0;Cessna2;Initialization;0;0;0;478b5bc2-a2b4-42af-a38c-99735c15a4d3
18;18;2020-01-01T19:00:18.0000000+01:00;19;Initialization;None;96.9972670064295;0;0;Cessna1;Initialization;0;0;0;e0cd5c62-a9ad-4830-8014-10c47c22d193
18;18;2020-01-01T19:00:18.0000000+01:00;37;Initialization;None;648.629791684742;0;0;Cessna2;Initialization;0;0;0;478b5bc2-a2b4-42af-a38c-99735c15a4d3
19;19;2020-01-01T19:00:19.0000000+01:00;19;Initialization;None;96.9972670064295;0;0;Cessna1;Initialization;0;0;0;e0cd5c62-a9ad-4830-8014-10c47c22d193
19;19;2020-01-01T19:00:19.0000000+01:00;37;Initialization;None;648.629791684742;0;0;Cessna2;Initialization;0;0;0;478b5bc2-a2b4-42af-a38c-99735c15a4d3
20;20;2020-01-01T19:00:20.0000000+01:00;19;Initialization;None;96.9972670064295;0;0;Cessna1;Initialization;0;0;0;e0cd5c62-a9ad-4830-8014-10c47c22d193
20;20;2020-01-01T19:00:20.0000000+01:00;37;Initialization;None;648.629791684742;0;0;Cessna2;Initialization;0;0;0;478b5bc2-a2b4-42af-a38c-99735c15a4d3
21;21;2020-01-01T19:00:21.0000000+01:00;19;Initialization;None;96.9972670064295;0;0;Cessna1;Initialization;0;0;0;e0cd5c62-a9ad-4830-8014-10c47c22d193
21;21;2020-01-01T19:00:21.0000000+01:00;37;Initialization;None;648.629791684742;0;0;Cessna2;Initialization;0;0;0;478b5bc2-a2b4-42af-a38c-99735c15a4d3
22;22;2020-01-01T19:00:22.0000000+01:00;19;Initialization;None;96.9972670064295;0;0;Cessna1;Initialization;0;0;0;e0cd5c62-a9ad-4830-8014-10c47c22d193
22;22;2020-01-01T19:00:22.0000000+01:00;37;Initialization;None;648.629791684742;0;0;Cessna2;Initialization;0;0;0;478b5bc2-a2b4-42af-a38c-99735c15a4d3
23;23;2020-01-01T19:00:23.0000000+01:00;19;Initialization;None;96.9972670064295;0;0;Cessna1;Initialization;0;0;0;e0cd5c62-a9ad-4830-8014-10c47c22d193
23;23;2020-01-01T19:00:23.0000000+01:00;37;Initialization;None;648.629791684742;0;0;Cessna2;Initialization;0;0;0;478b5bc2-a2b4-42af-a38c-99735c15a4d3
24;24;2020-01-01T19:00:24.0000000+01:00;19;Initialization;None;96.9972670064295;0;0;Cessna1;Initialization;0;0;0;e0cd5c62-a9ad-4830-8014-10c47c22d193
24;24;2020-01-01T19:00:24.0000000+01:00;37;Initialization;None;648.629791684742;0;0;Cessna2;Initialization;0;0;0;478b5bc2-a2b4-42af-a38c-99735c15a4d3
25;25;2020-01-01T19:00:25.0000000+01:00;19;Initialization;None;96.9972670064295;0;0;Cessna1;Initialization;0;0;0;e0cd5c62-a9ad-4830-8014-10c47c22d193
25;25;2020-01-01T19:00:25.0000000+01:00;37;Initialization;None;648.629791684742;0;0;Cessna2;Initialization;0;0;0;478b5bc2-a2b4-42af-a38c-99735c15a4d3
26;26;2020-01-01T19:00:26.0000000+01:00;19;Initialization;None;96.9972670064295;0;0;Cessna1;Initialization;0;0;0;e0cd5c62-a9ad-4830-8014-10c47c22d193
26;26;2020-01-01T19:00:26.0000000+01:00;37;Initialization;None;648.629791684742;0;0;Cessna2;Initialization;0;0;0;478b5bc2-a2b4-42af-a38c-99735c15a4d3
27;27;2020-01-01T19:00:27.0000000+01:00;19;Initialization;None;96.9972670064295;0;0;Cessna1;Initialization;0;0;0;e0cd5c62-a9ad-4830-8014-10c47c22d193
27;27;2020-01-01T19:00:27.0000000+01:00;37;Initialization;None;648.629791684742;0;0;Cessna2;Initialization;0;0;0;478b5bc2-a2b4-42af-a38c-99735c15a4d3
28;28;2020-01-01T19:00:28.0000000+01:00;19;Initialization;None;96.9972670064295;0;0;Cessna1;Initialization;0;0;0;e0cd5c62-a9ad-4830-8014-10c47c22d193
28;28;2020-01-01T19:00:28.0000000+01:00;37;Initialization;None;648.629791684742;0;0;Cessna2;Initialization;0;0;0;478b5bc2-a2b4-42af-a38c-99735c15a4d3
29;29;2020-01-01T19:00:29.0000000+01:00;19;Initialization;None;96.9972670064295;0;0;Cessna1;Initialization;0;0;0;e0cd5c62-a9ad-4830-8014-10c47c22d193
29;29;2020-01-01T19:00:29.0000000+01:00;37;Initialization;None;648.629791684742;0;0;Cessna2;Initialization;0;0;0;478b5bc2-a2b4-42af-a38c-99735c15a4d3
30;30;2020-01-01T19:00:30.0000000+01:00;19;Initialization;None;96.9972670064295;0;0;Cessna1;Initialization;0;0;0;e0cd5c62-a9ad-4830-8014-10c47c22d193
30;30;2020-01-01T19:00:30.0000000+01:00;37;Initialization;None;648.629791684742;0;0;Cessna2;Initialization;0;0;0;478b5bc2-a2b4-42af-a38c-99735c15a4d3
31;31;2020-01-01T19:00:31.0000000+01:00;19;Initialization;None;96.9972670064295;0;0;Cessna1;Initialization;0;0;0;e0cd5c62-a9ad-4830-8014-10c47c22d193
31;31;2020-01-01T19:00:31.0000000+01:00;37;Initialization;None;648.629791684742;0;0;Cessna2;Initialization;0;0;0;478b5bc2-a2b4-42af-a38c-99735c15a4d3
32;32;2020-01-01T19:00:32.0000000+01:00;19;Initialization;None;96.9972670064295;0;0;Cessna1;Initialization;0;0;0;e0cd5c62-a9ad-4830-8014-10c47c22d193
32;32;2020-01-01T19:00:32.0000000+01:00;37;Initialization;None;648.629791684742;0;0;Cessna2;Initialization;0;0;0;478b5bc2-a2b4-42af-a38c-99735c15a4d3
33;33;2020-01-01T19:00:33.0000000+01:00;19;Initialization;None;96.9972670064295;0;0;Cessna1;Initialization;0;0;0;e0cd5c62-a9ad-4830-8014-10c47c22d193
